stop_id,name,lat,lng,collected_at,ars_no,city_code,city_name,managing_city
BSB192080301,강서구청역,35.2113136,128.9796132,2025-10-31,12298,21,부산광역시,부산BIS
BSB192080302,강서구청역,35.2111847,128.980946,2025-10-31,92223,21,부산광역시,부산BIS
BSB192080701,강서구청역,35.21087515,128.9804228,2025-10-31,92390,21,부산광역시,부산BIS
BSB192090101,부산교도소,35.21595792,128.9515368,2025-10-31,92298,21,부산광역시,부산BIS
BSB192090102,중리1구꽃동네,35.21834594,128.9554389,2025-10-31,92299,21,부산광역시,부산BIS
BSB192090103,평강,35.2144553,128.9497594,2025-10-31,92297,21,부산광역시,부산BIS
BSB192090104,평강농협,35.21307399,128.94766,2025-10-31,92296,21,부산광역시,부산BIS
BSB192090201,평강역,35.21393008,128.9498619,2025-10-31,12015,21,부산광역시,부산BIS
BSB192090202,평강,35.21392461,128.9503265,2025-10-31,92001,21,부산광역시,부산BIS
BSB192100401,평강대리1구,35.2082728,128.9428356,2025-10-31,92336,21,부산광역시,부산BIS
BSB192100402,평강대리,35.20986201,128.9431782,2025-10-31,92335,21,부산광역시,부산BIS
BSB192110101,강서해수랜드,35.19785066,128.9259321,2025-10-31,,21,부산광역시,부산BIS
BSB192110301,덕계,35.19160005,128.9228558,2025-10-31,92186,21,부산광역시,부산BIS
BSB192110302,신덕신천마을,35.19551833,128.9246914,2025-10-31,,21,부산광역시,부산BIS
BSB192120101,공항상회,35.20220397,128.9410853,2025-10-31,92292,21,부산광역시,부산BIS
BSB192120102,칠점입구,35.19844752,128.9399654,2025-10-31,92291,21,부산광역시,부산BIS
BSB192120103,평강사리마을입구,35.20549785,128.9425617,2025-10-31,92293,21,부산광역시,부산BIS
BSB192120401,울만신평 하리,35.19691138,128.9320003,2025-10-31,,21,부산광역시,부산BIS
BSB192170201,시만,35.21474525,128.914087,2025-10-31,92394,21,부산광역시,부산BIS
BSB192170202,식만,35.21035284,128.9103662,2025-10-31,92395,21,부산광역시,부산BIS
BSB192170203,용등,35.20170739,128.9026178,2025-10-31,92396,21,부산광역시,부산BIS
BSB192170204,시만교,35.2167128,128.916253,2025-10-31,,21,부산광역시,부산BIS
BSB192170205,식만교,35.21278493,128.9116146,2025-10-31,,21,부산광역시,부산BIS
BSB192180202,금호오리마을,35.15619498,128.9554918,2025-10-31,92131,21,부산광역시,부산BIS
BSB192190101,신평마을,35.18484925,128.9251416,2025-10-31,92095,21,부산광역시,부산BIS
BSB192190102,성심정미소,35.17549447,128.9232401,2025-10-31,92093,21,부산광역시,부산BIS
BSB192190103,입소마을회관,35.17692259,128.9229809,2025-10-31,92094,21,부산광역시,부산BIS
BSB192190104,공항기숙사후문,35.17977005,128.9244811,2025-10-31,,21,부산광역시,부산BIS
BSB192190105,신평마을회관,35.18697995,128.926155,2025-10-31,,21,부산광역시,부산BIS
BSB192190201,설만마을회관,35.17471131,128.9277238,2025-10-31,92100,21,부산광역시,부산BIS
BSB192190202,동신에프에이,35.1750072,128.9242042,2025-10-31,,21,부산광역시,부산BIS
BSB192190203,신진화이너스,35.17472119,128.925756,2025-10-31,,21,부산광역시,부산BIS
BSB192200101,상곡정미소,35.17668377,128.9165683,2025-10-31,92172,21,부산광역시,부산BIS
BSB192200102,현대슈퍼,35.18150907,128.9188139,2025-10-31,92173,21,부산광역시,부산BIS
BSB192200103,득천사거리,35.18915788,128.9216121,2025-10-31,92174,21,부산광역시,부산BIS
BSB192200104,득천,35.18409801,128.9197293,2025-10-31,,21,부산광역시,부산BIS
BSB192200301,강동119안전센터,35.17508909,128.9158461,2025-10-31,,21,부산광역시,부산BIS
BSB192220101,용적사입구,35.13678458,128.8848009,2025-10-31,,21,부산광역시,부산BIS
BSB192220301,가달,35.13976964,128.877111,2025-10-31,12128,21,부산광역시,부산BIS
BSB192220302,생곡마을,35.13832985,128.8803575,2025-10-31,12175,21,부산광역시,부산BIS
BSB192220303,가달,35.13987627,128.8769203,2025-10-31,92365,21,부산광역시,부산BIS
BSB192220304,생곡입구,35.13838375,128.880214,2025-10-31,92116,21,부산광역시,부산BIS
BSB192230201,둔치도입구,35.16385663,128.8931568,2025-10-31,,21,부산광역시,부산BIS
BSB192260101,생곡삼거리,35.1366045,128.8853562,2025-10-31,,21,부산광역시,부산BIS
BSB192500101,사구,35.15862101,128.8860802,2025-10-31,92368,21,부산광역시,부산BIS
BSB192500102,조만포,35.16213665,128.8893289,2025-10-31,92375,21,부산광역시,부산BIS
BSB192500103,둔치도입구,35.16316005,128.8927484,2025-10-31,12451,21,부산광역시,부산BIS
BSB192500201,사구,35.15906545,128.8857404,2025-10-31,12156,21,부산광역시,부산BIS
BSB192500202,범방주유소,35.15632815,128.8846853,2025-10-31,92341,21,부산광역시,부산BIS
BSB192500203,사구,35.15880172,128.8856319,2025-10-31,92340,21,부산광역시,부산BIS
BSB192530201,세산초등학교,35.14292851,128.8733128,2025-10-31,,21,부산광역시,부산BIS
BSB192530301,세산초등학교,35.143536,128.872687,2025-10-31,92343,21,부산광역시,부산BIS
BSB192560101,가동마을,35.16695065,128.8819647,2025-10-31,12449,21,부산광역시,부산BIS
BSB192560102,가동마을입구,35.16525536,128.8848073,2025-10-31,12351,21,부산광역시,부산BIS
BSB192590101,중신입구,35.097725,128.911077,2025-10-31,92161,21,부산광역시,부산BIS
BSB192590102,포니상회,35.096025,128.908022,2025-10-31,92162,21,부산광역시,부산BIS
BSB192590103,중신뚝길,35.095307,128.904455,2025-10-31,92163,21,부산광역시,부산BIS
BSB192590401,중흥프라디움,35.09832145,128.9155364,2025-10-31,12506,21,부산광역시,부산BIS
BSB192590402,중흥S클래스프라디움,35.09832318,128.9154268,2025-10-31,,21,부산광역시,부산BIS
BSB192590701,한국토지주택공사,35.09919657,128.9106224,2025-10-31,,21,부산광역시,부산BIS
BSB192630201,지사산단입구,35.13603571,128.8585943,2025-10-31,12431,21,부산광역시,부산BIS
BSB192630301,명동,35.14403721,128.8455149,2025-10-31,92117,21,부산광역시,부산BIS
BSB192630302,명동,35.14411266,128.8454857,2025-10-31,12326,21,부산광역시,부산BIS
BSB192630401,동양메이져,35.13973996,128.8487274,2025-10-31,,21,부산광역시,부산BIS
BSB192640101,명동,35.14449243,128.8446949,2025-10-31,92371,21,부산광역시,부산BIS
BSB192640102,명동,35.14438069,128.8447512,2025-10-31,12327,21,부산광역시,부산BIS
BSB192660201,명동,35.145418,128.842607,2025-10-31,92370,21,부산광역시,부산BIS
BSB192660302,동화엔텍,35.14912728,128.8366291,2025-10-31,,21,부산광역시,부산BIS
BSB192670102,동화엔텍,35.14876541,128.8364235,2025-10-31,,21,부산광역시,부산BIS
BSB192670301,동화엔텍,35.14912407,128.8365413,2025-10-31,12328,21,부산광역시,부산BIS
BSB192670302,자동차부품단지,35.14910232,128.8335179,2025-10-31,,21,부산광역시,부산BIS
BSB192680101,금강.협성아파트,35.14978936,128.8362024,2025-10-31,12412,21,부산광역시,부산BIS
BSB192680102,협성DS엘리시안,35.14988625,128.8362018,2025-10-31,,21,부산광역시,부산BIS
BSB192690101,금강.협성아파트,35.15042858,128.8359479,2025-10-31,12413,21,부산광역시,부산BIS
BSB192690102,협성DS엘리시안,35.15036314,128.8359546,2025-10-31,,21,부산광역시,부산BIS
BSB192690201,지사휴먼시아아파트,35.15081784,128.8348348,2025-10-31,92407,21,부산광역시,부산BIS
BSB192690202,지사휴먼시아아파트,35.15081495,128.8349827,2025-10-31,12353,21,부산광역시,부산BIS
BSB192700101,지사휴먼시아아파트,35.15056373,128.8343133,2025-10-31,12354,21,부산광역시,부산BIS
BSB192710101,지사휴먼시아아파트,35.15056348,128.8341895,2025-10-31,92369,21,부산광역시,부산BIS
BSB192710201,지사문화회관,35.15078546,128.8312734,2025-10-31,12355,21,부산광역시,부산BIS
BSB192720101,지사문화회관,35.1506097,128.8312749,2025-10-31,12356,21,부산광역시,부산BIS
BSB192720301,에스피엘,35.15080597,128.8249893,2025-10-31,12490,21,부산광역시,부산BIS
BSB192750201,이원솔루텍,35.1485496,128.8305869,2025-10-31,12466,21,부산광역시,부산BIS
BSB192750401,이원솔루텍,35.14827747,128.8308496,2025-10-31,12465,21,부산광역시,부산BIS
BSB192750402,이원솔루텍,35.1487887,128.8310147,2025-10-31,,21,부산광역시,부산BIS
BSB192750501,이원솔루텍,35.14905192,128.8302909,2025-10-31,12332,21,부산광역시,부산BIS
BSB192750502,이원솔루텍,35.14906434,128.830368,2025-10-31,,21,부산광역시,부산BIS
BSB192760201,자동차부품복지관,35.14640344,128.8303742,2025-10-31,12464,21,부산광역시,부산BIS
BSB192770101,자동차부품복지관,35.14625607,128.8305848,2025-10-31,12463,21,부산광역시,부산BIS
BSB192770201,테크노파크입구,35.14453237,128.8285055,2025-10-31,12462,21,부산광역시,부산BIS
BSB192770202,자동차부품복지관,35.14588086,128.8299181,2025-10-31,,21,부산광역시,부산BIS
BSB192770203,테크노파크입구,35.14448365,128.8284495,2025-10-31,,21,부산광역시,부산BIS
BSB192780101,자동차부품복지관,35.14575675,128.8300799,2025-10-31,,21,부산광역시,부산BIS
BSB192790101,테크노파크입구,35.14435878,128.8286607,2025-10-31,12461,21,부산광역시,부산BIS
BSB192790102,테크노파크입구,35.14395969,128.8282348,2025-10-31,,21,부산광역시,부산BIS
BSB165850202,스파쇼핑,35.21826649,129.0835459,2025-10-31,,21,부산광역시,부산BIS
BSB165850401,온천장,35.21907751,129.0819488,2025-10-31,6010,21,부산광역시,부산BIS
BSB165850402,(구)온천극장,35.21902768,129.0820251,2025-10-31,,21,부산광역시,부산BIS
BSB165860101,금강원입구,35.22024676,129.0804751,2025-10-31,6005,21,부산광역시,부산BIS
BSB165860102,온천시장,35.22133276,129.0808718,2025-10-31,6004,21,부산광역시,부산BIS
