station_line,station_name,exit_no,lat,lng,osm_node_id,coordinate_source,coordinate_license,coordinate_retrieved_at,accessibility_evidence_source
1,구서,3,35.2479549,129.0911980,1772360733,OpenStreetMap,ODbL 1.0,2026-08-13,부산교통공사 도시철도 엘리베이터 이동경로 2025-12-31
1,구서,4,35.2479471,129.0914204,1772360745,OpenStreetMap,ODbL 1.0,2026-08-13,부산교통공사 도시철도 엘리베이터 이동경로 2025-12-31
1,남산,4,35.2648107,129.0925051,8265433411,OpenStreetMap,ODbL 1.0,2026-08-13,부산교통공사 도시철도 엘리베이터 이동경로 2025-12-31
1,남포,4,35.0976750,129.0348683,5163601679,OpenStreetMap,ODbL 1.0,2026-08-13,부산교통공사 도시철도 엘리베이터 이동경로 2025-12-31
1,남포,5,35.0981518,129.0352134,5163601677,OpenStreetMap,ODbL 1.0,2026-08-13,부산교통공사 도시철도 엘리베이터 이동경로 2025-12-31
1,노포,2,35.2836232,129.0948612,8256799988,OpenStreetMap,ODbL 1.0,2026-08-13,부산교통공사 도시철도 엘리베이터 이동경로 2025-12-31
1,동래,3,35.2059875,129.0783563,1772360704,OpenStreetMap,ODbL 1.0,2026-08-13,부산교통공사 도시철도 엘리베이터 이동경로 2025-12-31
1,동래,3,35.1973775,129.0906208,8276853234,OpenStreetMap,ODbL 1.0,2026-08-13,부산교통공사 도시철도 엘리베이터 이동경로 2025-12-31
1,동래,4,35.2059919,129.0786245,1772360713,OpenStreetMap,ODbL 1.0,2026-08-13,부산교통공사 도시철도 엘리베이터 이동경로 2025-12-31
1,두실,3,35.2566891,129.0912305,8265472390,OpenStreetMap,ODbL 1.0,2026-08-13,부산교통공사 도시철도 엘리베이터 이동경로 2025-12-31
1,두실,4,35.2566891,129.0915294,8265472391,OpenStreetMap,ODbL 1.0,2026-08-13,부산교통공사 도시철도 엘리베이터 이동경로 2025-12-31
1,명륜,2,35.2121431,129.0795358,1772360735,OpenStreetMap,ODbL 1.0,2026-08-13,부산교통공사 도시철도 엘리베이터 이동경로 2025-12-31
