연번,호선,역명,출입구번호,상세위치,시작층 구분,시작층(운행역층),종료층 구분,종료층(운행역층)
1,1,노포,2,(2F) 2번 출입구 앞 (1F) 밤어사역 방향 승강장 6-1 출입문 앞,지상,1,지상,2
2,1,노포,2,(2F) 2번 출입구 앞 (1F) 노포행 승강장 6-1 출입문 앞,지상,1,지상,2
3,1,범어사,3,(1F) 3번출입구 (B2) 1번/3번 출입구 방향,지하,2,지상,1
4,1,범어사,4,(1F) 4번출입구 (B2) 2번/4번 출입구 방향,지하,2,지상,1
5,1,범어사,,"(B2) 남산역 방향 표내는 곳 내, 1번/3번 출입구 방향 (B3) 남산역 방향 승강장 8-1 출입문 앞 ",지하,3,지하,2
6,1,범어사,,"(B2) 노포역 방향 표내는 곳 내, 2번/4번 출입구방향 (B3) 노포역 방향 승강장 8-1출입문 앞 ",지하,3,지하,2
7,1,남산,3,(1F) 3번 출입구 앞 (B1) 10번 표내는 곳 옆,지하,1,지상,1
8,1,남산,4,(1F) 4번 출입구 앞 (B1) 20번 표내는 곳 옆,지하,1,지상,1
9,1,남산,,(B1) 15번 표내는 곳 앞 (B2) 두실역 방향 승강장  5-3 출입문 앞,지하,2,지하,1
10,1,남산,,"(B1) 25번 표내는 곳 앞, 2번/4번 출입구 방향 (B2) 범어사역 방향 승강장  8-2 출입문 앞",지하,2,지하,1
11,1,두실,3,(1F) 3번 출입구 옆 (B1) 3번 출입구 방향,지하,1,지상,1
12,1,두실,4,(1F) 4번 출입구 옆 (B1) 4번 출입구 방향,지하,1,지상,1
13,1,두실,,(B1) 1번/3번 출입구 옆 (B2) 구서역 방향 승강장 6-2 출입문 앞,지하,2,지하,1
14,1,두실,,(B1) 2번/4번 출입구 옆 (B2) 남산역 방향 승강장 7-1 출입문 앞,지하,2,지하,1
15,1,구서,3,"(1F) 3번 출입구 옆 (2F)북쪽 대합실 계단 옆, 3번 출입구 방향 (3F) 장전역 방향 승강장 1-1 출입문 앞",지상,1,지상,3
16,1,구서,4,"(1F) 4번 출입구 옆 (2F)북쪽 대합실 계단 옆, 4번 출입구 방향 (3F) 두실역 방향 승강장 1-1 출입문 앞",지상,1,지상,3
17,1,장전,,(1F) 3번 출입구 근처 부산대역 방향 표내는 곳 안 (2F) 부산대역 방향 승강장 3-2 출입문 앞,지상,1,지상,2
18,1,장전,,(1F) 4번 출입구 옆 구서역 방향 표내는 곳 안 (2F) 구서역 방향 승강장 1-2 출입문 앞,지상,1,지상,2
19,1,부산대,1,(2F) 온천장역 방향 승강장 6-3 출입문 앞 (1F) 1번 출입구 근처 표 내는 곳 안,지상,1,지상,2
20,1,부산대,2,(2F) 장전역 방향 승강장 7-2 출입문 앞 (1F) 2번 출입구 옆 표 내는 곳 안,지상,1,지상,2
21,1,온천장,2,(1F) 2번 출입구 근처,지상,1,지상,2
22,1,명륜,2,(2F) 온천장역 방향 승강장 8-1 출입문 앞 (1F) 2번 출입구앞,지상,1,지상,2
23,1,동래,3,(2F) 교대역 방향 승강장 2-3 출입문 앞 (1F) 3번 출입구 옆,지상,1,지상,2
24,1,동래,4,(2F) 명륜역 방향 승강장 2-3 출입문 앞 (1F) 4번 출입구 옆,지상,1,지상,2
25,1,교대,5,(1F)5번 출입구 옆 (B1) 5번 출입구 옆,지하,1,지상,1
26,1,교대,8,(1F)8번 출입구 옆 (B1) 8번 출입구 옆,지하,1,지상,1
27,1,교대,,(B1) 동래역 방향 승강장 3-1 출입문 앞(B2) 지하연결통로,지하,2,지하,1
28,1,교대,,(B1) 연산역 방향 승강장 3-1 출입문 앞(B2) 지하연결통로,지하,2,지하,1
29,1,교대,2,(1F)2번 출입구 옆 (B1) 2번 출입구 옆,지하,1,지상,1
30,1,1연산,3,"(1F) 3번 출입구 앞 (B1) 1,3번 출구 사이",지하,1,지상,1
31,1,1연산,5,"(1F) 5번 출입구 옆 (B1) 고객센터, 5번출구 사이",지하,1,지상,1
32,1,1연산,14,"(1F) 14번 출입구 앞 (B1) 14번, 16번 출구쪽 가는 방향 통로 이용",지하,1,지상,1
33,1,시청,3,(1F) 3번/5번 출입구 사이 (B1) 발매기 옆,지하,1,지상,1
34,1,시청,4,"(1F) 4번 출입구 앞 (B1) 화장실 맞은편, 표내는 곳 옆",지하,1,지상,1
35,1,시청,,"(B1) 표내는 곳 옆, 1번 출입구 방향 (B2) 양정역 방향 승강장 7-3 출입문 앞",지하,2,지하,1
36,1,시청,,"(B1) 표내는 곳 옆, 2번 출입구 방향 (B2) 연산역 방향 승강장 출입문 8-1 앞",지하,2,지하,1
37,1,양정,1,(1F) 1번 출입구 옆 (B1) 1번 엘리베이터 통로 안,지하,1,지상,1
38,1,양정,2,(1F) 2번 출입구 옆 (B1) 2번 엘리베이터 통로 안,지하,1,지상,1
39,1,양정,7,(1F) 9번 출입구 뒤 (B1) 대합실 쌈지공원 옆,지하,1,지상,1
40,1,양정,6,(1F) 8번 출입구 뒤 (B1) 6번 엘리베이터 통로 안,지하,1,지상,1
41,1,양정,,(B1) 20번대 표내는 곳 내 계단 앞 (B2) 부전역 방향 승강장 7-1 출입문 앞,지하,2,지하,1
42,1,양정,,(B1) 30번대 표내는 곳 내 계단 앞 (B2) 시청역 방향 승강장 7-1 출입문 앞,지하,2,지하,1
43,1,부전,1,(1F) 1번 출입구 뒤(B1) 1번 출입구 옆,지하,1,지상,1
44,1,부전,6,(1F) 6번 출입구 옆(B1) 양정역 방향 표내는곳(G-30) 옆,지하,1,지상,1
45,1,부전,,(B1) 서면역 방향 표내는곳(G-1) 내 계단 앞 (B2) 서면역 방향 승강장 3-1 출입문 앞,지하,2,지하,1
46,1,부전,,(B1) 양정역 방향 표내는곳(G-20) 내 계단 앞 (B2) 양정역 방향 승강장 6-3 출입문 앞,지하,2,지하,1
47,1,1서면,13,(B1) 역무실 후문 앞 (1F) 13번 출구 옆,지하,1,지상,1
48,1,1서면,12,(B1) 12번 출구 계단 맞은편 (1F) 12번 출구 옆,지하,1,지상,1
49,1,1서면,,(B1) 41번 게이트 내 (B2) 1호선 상선 승강장,지하,2,지하,1
50,1,1서면,,(B1) 45번 게이트 내 (B2) 1호선 하선 승강장,지하,2,지하,1
51,1,범내골,1,(1F) 1번 출입구 근처 (B1) 1번 출입구 근처,지하,1,지상,1
52,1,범내골,4,(1F) 4번 출입구 근처 (B1) 4번 출입구 근처,지하,1,지상,1
53,1,범내골,7,(1F) 5번/7번 출입구 사이 엘리베이터 (B1) 7번 출입구 옆,지하,1,지상,1
54,1,범내골,6,(1F) 6번/8번 출입구 사이 엘리베이터 (B1) 6번 출입구 옆,지하,1,지상,1
55,1,범내골,,"(B1) 표내는곳 내 계단 옆, 1번/2번 출입구 방향 (B2) 노포행 방향 승강장 8-3 출입문 근처 ",지하,2,지하,1
56,1,범내골,,(B1) 대합실 만남의광장 화장실 근처 (B2) 다대포해수욕장행 방향 승강장 3-3 출입문 앞 ,지하,2,지하,1
57,1,범일,7,(1F) 7번 출입구 옆 (B1) 상가통로 방향,지하,1,지상,1
58,1,범일,6,(1F) 6번 출입구 옆 (B1) 화장실 방향,지하,1,지상,1
59,1,범일,,(B1) 10번대 표 내는 곳 방향 (B2) 좌천 방향 승강장 7-1 출입문 앞,지하,2,지하,1
