구분,역명,만남의장소,물품보관함,자동사진기,무인민원발급기,유아수유실,휠체어리프트,엘리베이터(내부),엘리베이터(외부),에스컬레이터,시각장애인 유도로,외부경사로(지상역 출구),비상인터폰(상선),비상인터폰(하선),기동순찰대
1호선,다대포해수욕장,1,18,0,1,1,0,2,4,13,1,0,5,5,0
1호선,다대포항,1,12,0,0,1,0,2,3,22,1,0,5,5,0
1호선,낫개,1,0,0,0,1,0,2,3,13,1,0,5,5,0
1호선,신장림,1,0,0,0,1,0,2,2,12,1,0,5,5,0
1호선,장림,1,0,0,0,1,0,2,2,14,1,0,5,5,0
1호선,동매,1,0,0,0,1,0,2,8,12,1,0,5,5,0
1호선,신평,1,0,0,0,1,0,2,2,0,1,1,3,3,0
1호선,하단,1,28,1,0,1,0,2,3,2,1,0,3,3,0
1호선,당리,1,0,0,0,1,0,2,3,0,1,0,3,3,0
1호선,사하,1,0,0,0,1,0,2,2,0,1,0,3,3,0
1호선,괴정,1,11,1,0,1,0,2,2,2,1,0,3,3,0
1호선,대티,1,0,0,0,1,0,2,2,3,1,0,3,3,0
1호선,서대신,1,0,0,0,1,0,1,2,7,1,0,3,3,0
1호선,동대신,1,0,0,0,1,0,2,2,0,1,0,3,3,0
1호선,토성,1,19,0,0,1,0,2,2,0,1,0,3,3,0
1호선,자갈치,1,86,1,0,1,0,2,3,6,1,0,3,3,0
1호선,남포,1,100,1,0,1,0,2,2,7,1,0,3,3,0
1호선,중앙,1,21,1,0,1,0,1,3,2,1,0,3,3,1
1호선,부산역,1,135,1,0,1,0,2,2,6,1,0,3,3,0
1호선,초량,1,15,0,0,1,0,2,2,0,1,0,3,3,0
1호선,부산진,1,10,0,1,1,0,2,2,0,1,0,3,3,0
1호선,좌천,1,0,0,0,1,0,2,2,0,1,0,3,3,0
1호선,범일,1,21,1,0,1,0,2,2,0,1,0,3,3,0
1호선,범내골,1,16,1,0,1,0,2,4,2,1,0,3,3,0
1호선,서면(1),0,145,1,1,1,0,2,2,10,1,0,3,3,1
1호선,부전,1,24,1,0,1,0,2,2,0,1,0,3,3,0
1호선,양정,1,15,1,0,1,0,2,4,0,1,0,3,3,0
1호선,시청,1,14,1,0,1,0,2,2,0,1,0,3,3,0
1호선,연산(1),1,23,1,1,1,0,0,3,4,1,0,3,3,0
1호선,교대,1,0,0,0,1,0,2,3,1,1,0,3,3,0
1호선,동래(1),1,24,1,0,1,0,2,0,2,1,1,3,3,0
1호선,명륜,1,10,0,0,1,0,1,0,0,1,0,3,3,0
1호선,온천장,1,15,0,0,1,0,1,0,0,1,6,3,3,1
1호선,부산대,1,45,1,1,1,0,2,0,0,1,4,3,3,0
1호선,장전,1,14,0,0,1,0,2,0,0,1,2,3,3,0
1호선,구서,1,0,0,0,1,0,2,0,0,1,1,3,3,0
1호선,두실,2,0,0,0,1,0,2,2,0,1,0,3,3,0
1호선,남산,1,0,0,0,1,0,2,2,0,1,0,3,3,0
1호선,범어사,1,0,0,0,1,0,2,2,1,1,0,3,3,0
1호선,노포,1,19,0,0,1,0,3,0,2,1,1,3,3,0
2호선,장산,1,32,1,0,1,0,1,2,0,1,0,3,3,0
2호선,중동,1,24,0,0,1,0,2,4,0,1,0,3,3,0
2호선,해운대,1,154,0,0,1,0,2,2,0,1,0,3,3,0
