station_code,name,name_en,phone,address,elevator,lat,lng
95,다대포해수욕장,Dadaepo Beach,051-678-6195,부산광역시 사하구 다대로 지하 692,O,35.04867,128.9641
96,다대포항역,Dadaepo Harbor,051-678-6196,부산광역시 사하구 다대로 지하 548,O,35.05782,128.9713
97,낫개역,Natgae,051-678-6197,부산광역시 사하구 다대로 지하 422,O,35.065265,128.979873
98,신장림역,Sinjangnim,051-678-6198,부산광역시 사하구 다대로 지하 310,O,35.074433,128.977041
99,장림역,Jangnim,051-618-6199,부산광역시 사하구 다대로 지하 230,O,35.08109,128.9775
100,동매역,Dongmae,051-618-6100,부산광역시 사하구 신산로 지하 168,O,35.0899,128.9742
101,신평역,Sinpyeong,051-678-6101,부산광역시 사하구 하신번영로 140,O,35.095179,128.960564
102,하단역,Hadan,051-678-6102,부산광역시 사하구 낙동남로 지하 1415,O,35.10618,128.966803
103,당리역,Dangni,051-678-6103,부산광역시 사하구 낙동대로 지하 405,O,35.103532,128.973846
104,사하역,Saha,051-678-6104,부산광역시 사하구 낙동대로 지하 309,O,35.099847,128.9831
105,괴정역,Goejeong,051-678-6105,부산광역시 사하구 낙동대로 지하 221,O,35.099816,128.992144
106,대티역,Daeti,051-678-6106,부산광역시 사하구 낙동대로 지하 141,O,35.103126,128.999936
107,서대신역,Seodaesin,051-678-6107,부산광역시 서구 대영로 지하 1,O,35.110937,129.012178
108,동대신역,Dongdaesin,051-678-6108,부산광역시 서구 구덕로 지하 290,O,35.110452,129.017684
109,토성역,Toseong,051-678-6109,부산광역시 서구 구덕로 지하 170,O,35.100727,129.019776
110,자갈치역,Jagalchi,051-678-6110,부산광역시 중구 구덕로 지하 80,O,35.097372,129.02667
111,남포역,Nampo,051-678-6111,부산광역시 중구 구덕로 지하 12,O,35.097953,129.034869
112,중앙역,Jungang,051-678-6112,부산광역시 중구 중앙대로 지하 83,O,35.103837,129.036371
113,부산역,Busan Station,051-678-6113,부산광역시 동구 중앙대로 지하 200,O,35.115224,129.0397
114,초량역,Choryang,051-678-6114,부산광역시 동구 중앙대로 지하 264,O,35.121168,129.043039
115,부산진역,Busanjin,051-678-6115,부산광역시 동구 중앙대로 지하 350,O,35.127787,129.047894
116,좌천역,Jwacheon,051-678-6116,부산광역시 동구 중앙대로 지하 446,O,35.134361,129.054455
117,범일역,Beomil,051-678-6117,부산광역시 동구 범일로 지하 108,O,35.140952,129.059352
118,범내골역,Beomnaegol,051-678-6118,부산광역시 부산진구 중앙대로 지하 612,O,35.1474,129.059261
119,서면역(1호선),Seomyeon,051-678-6119,부산광역시 부산진구 중앙대로 지하 730,O,35.158282,129.059556
120,부전역,Bujeon,051-678-6120,부산광역시 부산진구 중앙대로 지하 786,O,35.162587,129.062952
121,양정역,Yangjeong,051-678-6121,부산광역시 부산진구 중앙대로 지하 930,O,35.173122,129.071366
122,시청역,City Hall,051-678-6122,부산광역시 연제구 중앙대로 지하 1017,O,35.179837,129.076642
123,연산역,Yeonsan,051-678-6123,부산광역시 연제구 중앙대로 지하 1101,O,35.186168,129.081534
124,교대역,Busan Nat''''''''l Univ. of Edu.,051-678-6124,부산광역시 연제구 중앙대로 지하 1217,O,35.19605,129.080035
125,동래역,Dongnae,051-678-6125,부산광역시 동래구 중앙대로 1324,O,35.205641,129.078506
126,명륜역,Myeongnyun,051-678-6126,부산광역시 동래구 중앙대로 1414,O,35.212551,129.079659
127,온천장역,Oncheonjang,051-678-6127,부산광역시 동래구 중앙대로 1520,O,35.220249,129.086437
128,부산대역,Pusan Nat''''''''l Univ.,051-678-6128,부산광역시 금정구 장전온천천로 48,O,35.229609,129.089358
129,장전역,Jangjeon,051-678-6129,부산광역시 금정구 장전온천천로 144,O,35.23809095,129.088111
130,구서역,Guseo,051-678-6130,부산광역시 금정구 금정로 233번길 46,O,35.247407,129.091327
131,두실역,Dusil,051-678-6131,부산광역시 금정구 중앙대로 지하 1927-1,O,35.256959,129.091386
132,남산역,Namsan,051-678-6132,부산광역시 금정구 중앙대로 지하 2019-1,O,35.265404,129.092496
